directory,classification,action,reason,size_bytes
outputs/phase_b_ppo_check,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,3867
outputs/balance_core_extended_longevity,SUMMARIZE_THEN_DELETE,REFUSED_PROTECTED,path matches protected substring,3397
outputs/phase_b9_task5_equilibrium,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,2913
outputs/visual_environment_check,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,2910
outputs/phase_b9_task6_corrected_ik_eval,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,2564
outputs/phase_b9_task6_standing_ik_eval,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,2498
outputs/phase_b_narrow_height,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,2253
outputs/diagnostics,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,2252
outputs/phase_b_no_roll,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,2223
outputs/phase_b_tune1,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,2223
outputs/phase_b_antisymmetric,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,2221
outputs/phase_b_verification,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,2159
outputs/b9_subprocess_smoke,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,2004
outputs/step_e_boundary_height_hold_0p300_0p480,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,1894
outputs/phase_b9_step5_19_controller_authority_reallocation,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,1725
outputs/prior_eval,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,1641
outputs/phase_b9_task6_true_manifold,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,1392
outputs/classical_prior_eval_test,SUMMARIZE_THEN_DELETE,DELETED,rmtree ok,812
outputs/balance_core_height_recovery,DELETE_DIRECT,REFUSED_PROTECTED,path matches protected substring,0
outputs/hip_yaw_hy2_div_evaluation,DELETE_DIRECT,DELETED,rmtree ok,0
outputs/hip_yaw_sign_fix_smoke,DELETE_DIRECT,DELETED,rmtree ok,0
outputs/stage2d_sysid,DELETE_DIRECT,DELETED,rmtree ok,0
outputs/telemetry,DELETE_DIRECT,DELETED,rmtree ok,0
