controller,height,survival_time_mean,survival_time_std,fall_rate_mean,pitch_RMS_deg_mean,pitch_RMS_deg_std,roll_RMS_deg_mean,roll_RMS_deg_std,height_RMSE_mean,height_RMSE_std,CoM_error_RMS_mean,CoM_error_RMS_std,wheel_speed_RMS_mean,wheel_speed_RMS_std,wheel_cmd_RMS_mean,wheel_cmd_RMS_std,action_saturation_rate_mean,action_saturation_rate_std,action_rate_RMS_mean,action_rate_RMS_std
hierarchical_vmc_lqr,0.7,0.1,0.0,1.0,23.529170989990234,0.0,1.0336991548538208,0.0,0.30000001192092896,0.0,0.23529170453548431,0.0,16.6716251373291,0.0,0.058689869940280914,0.0,0.0,0.0,0.1685255765914917,0.0
hierarchical_vmc_lqr_v2,0.4,0.74,0.0,1.0,18.5555477142334,0.0,0.5295764803886414,0.0,0.33940088748931885,0.0,0.18555547297000885,0.0,17.36875343322754,0.0,0.3312942385673523,0.0,0.17297297297297298,0.0,0.2222972959280014,0.0
hierarchical_vmc_lqr_v2,0.45,0.62,0.0,1.0,15.406657218933105,0.0,6.408980846405029,0.0,0.45937469601631165,0.0,0.1540665626525879,0.0,19.82497215270996,0.0,0.071137435734272,0.0,0.32903225806451614,0.0,0.2396974265575409,0.0
hierarchical_vmc_lqr_v2,0.5,0.28,0.0,1.0,23.60276222229004,0.0,0.6598520278930664,0.0,0.4599994421005249,0.0,0.23602761328220367,0.0,16.45257568359375,0.0,0.19665640592575073,0.0,0.07142857142857142,0.0,0.1825619339942932,0.0
hierarchical_vmc_lqr_v2,0.55,0.1,0.0,1.0,20.383909225463867,0.0,0.7279818654060364,0.0,0.44999998807907104,0.0,0.20383909344673157,0.0,15.415874481201172,0.0,0.046079788357019424,0.0,0.0,0.0,0.16648341715335846,0.0
hierarchical_vmc_lqr_v2,0.6,0.1,0.0,1.0,23.508310317993164,0.0,1.0340603590011597,0.0,0.3999999761581421,0.0,0.23508310317993164,0.0,16.611852645874023,0.0,0.048716410994529724,0.0,0.0,0.0,0.16833625733852386,0.0
hierarchical_vmc_lqr_v2,0.65,0.1,0.0,1.0,23.510847091674805,0.0,1.034016489982605,0.0,0.3500000238418579,0.0,0.23510846495628357,0.0,16.619064331054688,0.0,0.048439960926771164,0.0,0.0,0.0,0.16830074787139893,0.0
hierarchical_vmc_lqr_v2,0.7,0.1,0.0,1.0,23.513376235961914,0.0,1.0339730978012085,0.0,0.30000001192092896,0.0,0.23513375222682953,0.0,16.62628746032715,0.0,0.046774640679359436,0.0,0.0,0.0,0.1682497262954712,0.0
hierarchical_vmc_lqr_v3,0.4,0.38,0.0,1.0,17.395797729492188,0.0,1.6424458026885986,0.0,0.390587717294693,0.0,0.1739579737186432,0.0,17.78677749633789,0.0,0.15523001551628113,0.0,0.021052631578947368,0.0,0.2011820524930954,0.0
hierarchical_vmc_lqr_v3,0.45,0.62,0.0,1.0,24.491634368896484,0.0,1.2376407384872437,0.0,0.5394183397293091,0.0,0.24491633474826813,0.0,19.065378189086914,0.0,0.36753785610198975,0.0,0.0,0.0,0.2879788875579834,0.0
hierarchical_vmc_lqr_v3,0.5,0.36,0.0,1.0,23.223846435546875,0.0,1.6966615915298462,0.0,0.430562824010849,0.0,0.23223845660686493,0.0,16.669153213500977,0.0,0.1580059826374054,0.0,0.0,0.0,0.28373926877975464,0.0
