hip_pitch,knee,torso_height,torso_pitch,knee_forward,com_to_wheel,geometric_height,knee_forward_ok,torso_upright,com_near_wheel,full_static,analytic_height,analytic_knee_forward,target_height,com_tolerance
-0.5,2.399328859060403,0.1458969570458269,0.0,0.12464990986299215,0.13649236652521024,False,True,True,False,False,0.13782823594747493,-0.12465064003709278,0.5,0.03
-0.5,2.420805369127517,0.14451710905448728,0.0,0.12464990986299215,0.13136001690410398,False,True,True,False,False,0.13215770165414895,-0.12465064003709278,0.5,0.03
-0.5,2.4422818791946312,0.14326326845700593,0.0,0.12464990986299215,0.1262028672741932,False,True,True,False,False,0.1265314510939062,-0.12465064003709278,0.5,0.03
-0.5,2.4637583892617454,0.1421360135531991,0.0,0.12464990986299215,0.12102329623024527,False,True,True,False,False,0.12095207922153817,-0.12465064003709278,0.5,0.03
-0.5,2.4852348993288595,0.14113586425868058,0.0,0.12464990986299215,0.11582369270829387,False,True,True,False,False,0.11542215937031858,-0.12465064003709278,0.5,0.03
-0.5,2.5067114093959733,0.14026328186506493,0.0,0.12464990986299215,0.1106064548838077,False,True,True,False,False,0.10994424206512386,-0.12465064003709278,0.5,0.03
-0.5,2.5281879194630874,0.1395186688272087,0.0,0.12464990986299215,0.10537398906559672,False,True,True,False,False,0.10452085384607246,-0.12465064003709278,0.5,0.03
-0.5,2.5496644295302016,0.1389023685775898,0.0,0.12464990986299215,0.10012870858596856,False,True,True,False,False,0.09915449610322774,-0.12465064003709278,0.5,0.03
-0.5,2.5711409395973157,0.13841466536790786,0.0,0.12464990986299215,0.09487303268764426,False,True,True,False,False,0.09384764392289949,-0.12465064003709278,0.5,0.03
-0.5,2.59261744966443,0.13805578413798197,0.0,0.12464990986299215,0.08960938540794867,False,True,True,False,False,0.088602744946078,-0.12465064003709278,0.5,0.03
-0.5,2.614093959731544,0.13782589041200194,0.0,0.12464990986299215,0.08434019446078926,False,True,True,False,False,0.08342221823952628,-0.12465064003709278,0.5,0.03
-0.5,2.635570469798658,0.13772509022218565,0.0,0.12464990986299215,0.07906789011693918,False,True,True,False,False,0.07830845318005131,-0.12465064003709278,0.5,0.03
-0.5,2.6570469798657723,0.13775343005987467,0.0,0.12464990986299215,0.07379490408314142,False,True,True,False,False,0.07326380835246926,-0.12465064003709278,0.5,0.03
-0.5,2.6785234899328865,0.1379108968540908,0.0,0.12464990986299215,0.0685236683805501,False,True,True,False,False,0.06829061046177246,-0.12465064003709278,0.5,0.03
-0.5,2.7,0.1381974179775653,0.0,0.12464990986299215,0.06325661422302742,False,True,True,False,False,0.06339115326000008,-0.12465064003709278,0.5,0.03
-0.48456375838926175,-0.5,0.6995834995100372,0.0,0.12111308335545098,0.07113515066584908,False,True,True,False,False,0.38497178308699237,-0.12111381959945795,0.5,0.03
-0.48456375838926175,-0.4785234899328859,0.6996117690854539,0.0,0.12111308335545098,0.07640813726249282,False,True,True,False,False,0.3899450421104459,-0.12111381959945795,0.5,0.03
-0.48456375838926175,-0.4570469798657718,0.699510898642466,0.0,0.12111308335545098,0.08168043955327821,False,True,True,False,False,0.39484456236230836,-0.12111381959945795,0.5,0.03
-0.48456375838926175,-0.4355704697986577,0.6992809347048174,0.0,0.12111308335545098,0.08694962583216591,False,True,True,False,False,0.39966808407234405,-0.12111381959945795,0.5,0.03
-0.48456375838926175,-0.4140939597315436,0.6989219833371093,0.0,0.12111308335545098,0.0922132658303468,False,True,True,False,False,0.4044133825225746,-0.12111381959945795,0.5,0.03
-0.48456375838926175,-0.3926174496644295,0.6984342100958809,0.0,0.12111308335545098,0.09746893183712271,False,True,True,False,False,0.40907826907336897,-0.12111381959945795,0.5,0.03
-0.48456375838926175,-0.3711409395973154,0.6978178399532509,0.0,0.12111308335545098,0.1027141998196119,False,True,True,False,False,0.41366059217289397,-0.12111381959945795,0.5,0.03
-0.48456375838926175,-0.3496644295302013,0.6970731571931554,0.0,0.12111308335545098,0.10794665054076089,False,True,True,False,False,0.4181582383494592,-0.12111381959945795,0.5,0.03
-0.48456375838926175,-0.32818791946308723,0.6962005052802298,0.0,0.12111308335545098,0.11316387067514623,False,True,True,False,False,0.4225691331862979,-0.12111381959945795,0.5,0.03
-0.48456375838926175,-0.30671140939597313,0.6952002867013947,0.0,0.12111308335545098,0.11836345392205157,False,True,True,False,False,0.4268912422783353,-0.12111381959945795,0.5,0.03
-0.48456375838926175,-0.28523489932885904,0.6940729627802199,0.0,0.12111308335545098,0.1235430021153051,False,True,True,False,False,0.43112257217050265,-0.12111381959945795,0.5,0.03
-0.48456375838926175,-0.26375838926174494,0.6928190534641517,0.0,0.12111308335545098,0.12870012632936656,False,True,True,False,False,0.43526117127716396,-0.12111381959945795,0.5,0.03
-0.48456375838926175,-0.24228187919463084,0.6914391370847012,0.0,0.12111308335545098,0.133832447981152,False,True,True,False,False,0.4393051307822318,-0.12111381959945795,0.5,0.03
-0.48456375838926175,-0.22080536912751675,0.6899338500907043,0.0,0.12111308335545098,0.1389375999270894,False,True,True,False,False,0.4432525855195565,-0.12111381959945795,0.5,0.03
